"ComputerName","PSComputerName","Name","StartMode","State"
"win7-c1",,,,
"hyperv",,,,
"hyperv-box",,,,
"dc1",,,,
"bonn_2008",,,,
"ex1",,,,
"sql",,,,
"xp",,,,
,"VARUNSAMF6C2","AJRouter","Manual","Stopped"
,"VARUNSAMF6C2","ALG","Manual","Stopped"
,"VARUNSAMF6C2","AppIDSvc","Manual","Stopped"
,"VARUNSAMF6C2","Appinfo","Manual","Stopped"
,"VARUNSAMF6C2","AppMgmt","Manual","Stopped"
,"VARUNSAMF6C2","AppReadiness","Manual","Stopped"
,"VARUNSAMF6C2","AppVClient","Disabled","Stopped"
,"VARUNSAMF6C2","AppXSvc","Manual","Stopped"
,"VARUNSAMF6C2","aspnet_state","Manual","Stopped"
,"VARUNSAMF6C2","AudioEndpointBuilder","Auto","Running"
,"VARUNSAMF6C2","Audiosrv","Auto","Running"
,"VARUNSAMF6C2","AxInstSV","Manual","Stopped"
,"VARUNSAMF6C2","BDESVC","Manual","Stopped"
,"VARUNSAMF6C2","BFE","Auto","Running"
,"VARUNSAMF6C2","BITS","Auto","Running"
,"VARUNSAMF6C2","BrokerInfrastructure","Auto","Running"
,"VARUNSAMF6C2","Browser","Manual","Stopped"
,"VARUNSAMF6C2","BthHFSrv","Manual","Stopped"
,"VARUNSAMF6C2","bthserv","Manual","Stopped"
,"VARUNSAMF6C2","CDPSvc","Auto","Running"
,"VARUNSAMF6C2","CertPropSvc","Manual","Running"
,"VARUNSAMF6C2","ClipSVC","Manual","Stopped"
,"VARUNSAMF6C2","COMSysApp","Manual","Running"
,"VARUNSAMF6C2","CoreMessagingRegistrar","Auto","Running"
,"VARUNSAMF6C2","CryptSvc","Auto","Running"
,"VARUNSAMF6C2","CscService","Manual","Stopped"
,"VARUNSAMF6C2","DcomLaunch","Auto","Running"
,"VARUNSAMF6C2","DcpSvc","Manual","Stopped"
,"VARUNSAMF6C2","defragsvc","Manual","Stopped"
,"VARUNSAMF6C2","DeviceAssociationService","Manual","Running"
,"VARUNSAMF6C2","DeviceInstall","Manual","Stopped"
,"VARUNSAMF6C2","DevQueryBroker","Manual","Stopped"
,"VARUNSAMF6C2","Dhcp","Auto","Running"
,"VARUNSAMF6C2","diagnosticshub.standardcollector.service","Manual","Stopped"
,"VARUNSAMF6C2","DiagTrack","Auto","Running"
,"VARUNSAMF6C2","DmEnrollmentSvc","Manual","Stopped"
,"VARUNSAMF6C2","dmwappushservice","Manual","Stopped"
,"VARUNSAMF6C2","Dnscache","Auto","Running"
,"VARUNSAMF6C2","DoSvc","Auto","Running"
,"VARUNSAMF6C2","dot3svc","Auto","Running"
,"VARUNSAMF6C2","DPS","Auto","Running"
,"VARUNSAMF6C2","DsmSvc","Manual","Stopped"
,"VARUNSAMF6C2","DsSvc","Manual","Running"
,"VARUNSAMF6C2","EapHost","Manual","Running"
,"VARUNSAMF6C2","EFS","Manual","Stopped"
,"VARUNSAMF6C2","embeddedmode","Manual","Stopped"
,"VARUNSAMF6C2","EntAppSvc","Manual","Stopped"
,"VARUNSAMF6C2","EventLog","Auto","Running"
,"VARUNSAMF6C2","EventSystem","Auto","Running"
,"VARUNSAMF6C2","Fax","Manual","Stopped"
,"VARUNSAMF6C2","fdPHost","Manual","Running"
,"VARUNSAMF6C2","FDResPub","Manual","Running"
,"VARUNSAMF6C2","fhsvc","Manual","Stopped"
,"VARUNSAMF6C2","FontCache","Auto","Running"
,"VARUNSAMF6C2","FontCache3.0.0.0","Manual","Stopped"
,"VARUNSAMF6C2","FrameServer","Manual","Stopped"
,"VARUNSAMF6C2","gpsvc","Auto","Stopped"
,"VARUNSAMF6C2","gupdate","Auto","Stopped"
,"VARUNSAMF6C2","gupdatem","Manual","Stopped"
,"VARUNSAMF6C2","hidserv","Manual","Stopped"
,"VARUNSAMF6C2","HomeGroupListener","Manual","Stopped"
,"VARUNSAMF6C2","HomeGroupProvider","Manual","Running"
,"VARUNSAMF6C2","HvHost","Manual","Stopped"
,"VARUNSAMF6C2","icssvc","Manual","Stopped"
,"VARUNSAMF6C2","IKEEXT","Manual","Stopped"
,"VARUNSAMF6C2","iphlpsvc","Auto","Running"
,"VARUNSAMF6C2","IpOverUsbSvc","Auto","Stopped"
,"VARUNSAMF6C2","irmon","Manual","Stopped"
,"VARUNSAMF6C2","KeyIso","Manual","Running"
,"VARUNSAMF6C2","KMS-R@1n","Auto","Running"
,"VARUNSAMF6C2","KtmRm","Manual","Stopped"
,"VARUNSAMF6C2","LanmanServer","Auto","Running"
,"VARUNSAMF6C2","LanmanWorkstation","Auto","Running"
,"VARUNSAMF6C2","lfsvc","Manual","Running"
,"VARUNSAMF6C2","LicenseManager","Manual","Running"
,"VARUNSAMF6C2","lltdsvc","Manual","Stopped"
,"VARUNSAMF6C2","lmhosts","Manual","Running"
,"VARUNSAMF6C2","LSM","Auto","Running"
,"VARUNSAMF6C2","MapsBroker","Auto","Stopped"
,"VARUNSAMF6C2","MpsSvc","Auto","Running"
,"VARUNSAMF6C2","MSDTC","Manual","Running"
,"VARUNSAMF6C2","MSiSCSI","Manual","Stopped"
,"VARUNSAMF6C2","msiserver","Manual","Stopped"
,"VARUNSAMF6C2","MySQL57","Manual","Stopped"
,"VARUNSAMF6C2","NcaSvc","Manual","Stopped"
,"VARUNSAMF6C2","NcbService","Manual","Running"
,"VARUNSAMF6C2","NcdAutoSetup","Manual","Running"
,"VARUNSAMF6C2","Netlogon","Manual","Stopped"
,"VARUNSAMF6C2","Netman","Manual","Running"
,"VARUNSAMF6C2","netprofm","Manual","Running"
,"VARUNSAMF6C2","NetSetupSvc","Manual","Stopped"
,"VARUNSAMF6C2","NetTcpPortSharing","Disabled","Stopped"
,"VARUNSAMF6C2","NgcCtnrSvc","Manual","Stopped"
,"VARUNSAMF6C2","NgcSvc","Manual","Stopped"
,"VARUNSAMF6C2","NlaSvc","Auto","Running"
